Month of Order Date,Category,Target
Aug-12,Office Supplies,"$14,000.00"
Sep-12,Office Supplies,"$14,000.00"
Oct-12,Office Supplies,"$16,000.00"
Nov-12,Office Supplies,"$16,000.00"
Dec-12,Office Supplies,"$16,000.00"
Jan-13,Office Supplies,"$16,000.00"
Feb-13,Office Supplies,"$16,000.00"
Mar-13,Office Supplies,"$16,000.00"
Apr-13,Office Supplies,"$10,000.00"
May-13,Office Supplies,"$10,000.00"
Jun-13,Office Supplies,"$10,000.00"
Jul-13,Office Supplies,"$18,000.00"
Aug-13,Office Supplies,"$18,000.00"
Sep-13,Office Supplies,"$18,000.00"
Oct-13,Office Supplies,"$20,000.00"
Nov-13,Office Supplies,"$20,000.00"
Dec-13,Office Supplies,"$20,000.00"
Jan-14,Office Supplies,"$12,000.00"
Feb-14,Office Supplies,"$12,000.00"
Mar-14,Office Supplies,"$12,000.00"
Apr-14,Office Supplies,"$16,000.00"
May-14,Office Supplies,"$16,000.00"
Jun-14,Office Supplies,"$16,000.00"
Jul-14,Office Supplies,"$18,000.00"
Aug-14,Office Supplies,"$18,000.00"
Sep-14,Office Supplies,"$18,000.00"
Oct-14,Office Supplies,"$26,000.00"
Nov-14,Office Supplies,"$26,000.00"
Dec-14,Office Supplies,"$26,000.00"
Jan-11,Technology,"$9,000.00"
Feb-11,Technology,"$9,000.00"
Mar-11,Technology,"$9,000.00"
Apr-11,Technology,"$9,000.00"
May-11,Technology,"$9,000.00"
Jun-11,Technology,"$9,000.00"
Jul-11,Technology,"$9,000.00"
Aug-11,Technology,"$9,000.00"
Sep-11,Technology,"$9,000.00"
Oct-11,Technology,"$9,000.00"
Nov-11,Technology,"$9,000.00"
Dec-11,Technology,"$9,000.00"
Jan-12,Technology,"$16,000.00"
Feb-12,Technology,"$16,000.00"
Mar-12,Technology,"$16,000.00"
Apr-12,Technology,"$16,000.00"
May-12,Technology,"$16,000.00"
Jun-12,Technology,"$16,000.00"
Jul-12,Technology,"$16,000.00"
Aug-12,Technology,"$16,000.00"
Sep-12,Technology,"$16,000.00"
Oct-12,Technology,"$16,000.00"
Nov-12,Technology,"$16,000.00"
Dec-12,Technology,"$16,000.00"
Jan-13,Technology,"$20,000.00"
Feb-13,Technology,"$20,000.00"
Mar-13,Technology,"$20,000.00"
Apr-13,Technology,"$20,000.00"
May-13,Technology,"$20,000.00"
Jun-13,Technology,"$20,000.00"
Jul-13,Technology,"$20,000.00"
Aug-13,Technology,"$20,000.00"
Sep-13,Technology,"$20,000.00"
Oct-13,Technology,"$20,000.00"
Nov-13,Technology,"$20,000.00"
Dec-13,Technology,"$20,000.00"
Jan-14,Technology,"$23,000.00"
Feb-14,Technology,"$23,000.00"
Mar-14,Technology,"$23,000.00"
Apr-14,Technology,"$23,000.00"
May-14,Technology,"$23,000.00"
Jun-14,Technology,"$23,000.00"
Jul-14,Technology,"$23,000.00"
Aug-14,Technology,"$23,000.00"
Sep-14,Technology,"$23,000.00"
Oct-14,Technology,"$23,000.00"
Nov-14,Technology,"$23,000.00"
Dec-14,Technology,"$23,000.00"
