Order ID,Product Name,Discount,Sales,Profit,Quantity,Category,Sub-Category
AZ-2011-2222024,"Green Bar Note Cards, Multicolor",0.5,$34.00,-$6.00,2,Office Supplies,Paper
AZ-2011-9927716,"Hon Chairmat, Adjustable",0,$290.00,$70.00,5,Furniture,Chairs
AZ-2011-5702370,"Ikea Stackable Bookrack, Traditional",0.1,$552.00,$165.00,5,Furniture,Bookcases
AZ-2011-5702370,"Binney & Smith Canvas, Blue",0,$257.00,$49.00,5,Office Supplies,Art
AZ-2011-5702370,"Ibico Index Tab, Clear",0,$17.00,$6.00,2,Office Supplies,Binders
AZ-2011-5702370,"Epson Printer, White",0,$522.00,$21.00,2,Technology,Machines
BN-2011-4913858,"Wilson Jones Hole Reinforcements, Durable",0.5,$9.00,-$3.00,3,Office Supplies,Binders
BN-2011-4913858,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",0.5,$22.00,-$12.00,4,Office Supplies,Labels
BN-2011-4913858,"Green Bar Cards & Envelopes, Multicolor",0.5,$50.00,-$38.00,2,Office Supplies,Paper
BN-2011-4913858,"Smead Lockers, Blue",0.5,$198.00,-$131.00,2,Office Supplies,Storage
BN-2011-2807470,"Sanford Pens, Fluorescent",0.5,$31.00,-$14.00,5,Office Supplies,Art
AZ-2011-5960662,"Xerox Message Books, Premium",0,$224.00,$103.00,11,Office Supplies,Paper
AZ-2011-5960662,"StarTech Card Printer, White",0,$486.00,$78.00,3,Technology,Machines
AZ-2011-5960662,"Apple Headset, with Caller ID",0,$440.00,$66.00,6,Technology,Phones
AZ-2011-7675351,"Cuisinart Microwave, White",0.1,$249.00,$3.00,1,Office Supplies,Appliances
AZ-2011-7675351,"Harbour Creations Removable Labels, 5000 Label Set",0,$21.00,$7.00,2,Office Supplies,Labels
AZ-2011-7675351,"Green Bar Computer Printout Paper, 8.5 x 11",0,$170.00,$25.00,5,Office Supplies,Paper
AZ-2011-7675351,"Elite Letter Opener, Easy Grip",0,$55.00,$2.00,2,Office Supplies,Supplies
AZ-2011-7675351,"Hewlett Copy Machine, Laser",0,$527.00,$11.00,2,Technology,Copiers
BN-2011-3770060,"Hon Shipping Labels, Laser Printer Compatible",0.5,$17.00,-$8.00,3,Office Supplies,Labels
AZ-2011-7419210,"Stockwell Thumb Tacks, Bulk Pack",0,$108.00,$33.00,8,Office Supplies,Fasteners
AZ-2011-1816950,"Acco Binding Machine, Economy",0.5,$26.00,-$11.00,1,Office Supplies,Binders
AZ-2011-5342265,"Wilson Jones Binding Machine, Clear",0,$145.00,$44.00,3,Office Supplies,Binders
AZ-2011-5342265,"Fellowes Folders, Blue",0.4,$48.00,$8.00,3,Office Supplies,Storage
AZ-2011-3059419,"GlobeWeis Business Envelopes, Recycled",0,$48.00,$21.00,3,Office Supplies,Envelopes
AZ-2011-2002251,"Boston Pencil Sharpener, Water Color",0,$58.00,$8.00,2,Office Supplies,Art
AZ-2011-5357101,"Memorex Router, Programmable",0,$495.00,$233.00,2,Technology,Accessories
AZ-2011-8034411,"Bush Classic Bookcase, Traditional",0,$825.00,$338.00,2,Furniture,Bookcases
AZ-2011-2245674,"Avery Index Tab, Clear",0,$12.00,$3.00,2,Office Supplies,Binders
AZ-2011-2245674,"Tenex File Cart, Blue",0,$666.00,$120.00,5,Office Supplies,Storage
AZ-2011-8034411,"Boston Canvas, Easy-Erase",0,$54.00,$12.00,1,Office Supplies,Art
AZ-2011-8034411,"Rogers Lockers, Single Width",0.4,$889.00,$59.00,7,Office Supplies,Storage
BN-2011-7883641,"Harbour Creations Swivel Stool, Set of Two",0.6,$73.00,-$57.00,1,Furniture,Chairs
BN-2011-7883641,"Office Star Bag Chairs, Set of Two",0.6,$69.00,-$95.00,3,Furniture,Chairs
BN-2011-7883641,"Advantus Staples, 12 Pack",0,$41.00,$3.00,4,Office Supplies,Fasteners
BN-2011-7883641,"Harbour Creations Color Coded Labels, Adjustable",0,$54.00,$8.00,5,Office Supplies,Labels
BN-2011-7883641,"SanDisk Memo Slips, Multicolor",0,$55.00,$3.00,3,Office Supplies,Paper
AZ-2011-6684426,"Boston Markers, Fluorescent",0,$28.00,$4.00,1,Office Supplies,Art
AZ-2011-5010109,"Stanley Markers, Water Color",0,$178.00,$59.00,7,Office Supplies,Art
AZ-2011-4205736,"Advantus Light Bulb, Duo Pack",0,$20.00,$4.00,1,Furniture,Furnishings
AZ-2011-4205736,"Cardinal Binder, Clear",0,$133.00,$4.00,10,Office Supplies,Binders
AZ-2011-5708655,"Acco Binder Covers, Clear",0,$13.00,$5.00,1,Office Supplies,Binders
AZ-2011-5708655,"Avery Binder, Economy",0,$52.00,$20.00,4,Office Supplies,Binders
AZ-2011-201891,"Smead Removable Labels, 5000 Label Set",0,$32.00,$10.00,3,Office Supplies,Labels
AZ-2011-5708655,"Memorex Flash Drive, Bluetooth",0,$88.00,$18.00,3,Technology,Accessories
BN-2011-6722454,"Hewlett Wireless Fax, Laser",0.5,$570.00,-$217.00,3,Technology,Copiers
BN-2011-486854,"Rogers Folders, Single Width",0.1,$28.00,-$1.00,1,Office Supplies,Storage
AZ-2011-494581,"Sanford Pencil Sharpener, Water Color",0,$78.00,$20.00,3,Office Supplies,Art
AZ-2011-2825684,"Acco Hole Reinforcements, Recycled",0,$21.00,$11.00,3,Office Supplies,Binders
AZ-2011-2825684,"Avery Hole Reinforcements, Durable",0,$12.00,$4.00,2,Office Supplies,Binders
BN-2011-9336144,"Fellowes File Cart, Industrial",0.1,$248.00,$8.00,2,Office Supplies,Storage
BN-2011-9336144,"Brother Wireless Fax, Laser",0,$379.00,$140.00,1,Technology,Copiers
AZ-2011-4614904,"Boston Highlighters, Water Color",0,$44.00,$8.00,2,Office Supplies,Art
AZ-2011-4696725,"Cisco Headset, Full Size",0.1,$162.00,$43.00,2,Technology,Phones
AZ-2011-838467,"Xerox Note Cards, Premium",0.5,$13.00,-$8.00,1,Office Supplies,Paper
AZ-2011-838467,"HP Fax and Copier, Digital",0.5,$86.00,$0.00,1,Technology,Copiers
AZ-2011-838467,"Motorola Signal Booster, Cordless",0.5,$584.00,-$59.00,8,Technology,Phones
BN-2011-2468159,"SanDisk Memo Slips, Multicolor",0.5,$46.00,-$41.00,5,Office Supplies,Paper
AZ-2011-4987681,"Acme Box Cutter, High Speed",0,$38.00,$18.00,1,Office Supplies,Supplies
BN-2011-2468159,"Logitech Numeric Keypad, Erganomic",0.5,$44.00,-$8.00,2,Technology,Accessories
BN-2011-2468159,"Hewlett Copy Machine, Color",0.65,$550.00,-$236.00,6,Technology,Copiers
BN-2011-2468159,"Konica Phone, White",0.65,$89.00,-$76.00,3,Technology,Machines
AZ-2011-4987681,"Cisco Smart Phone, Full Size",0.1,$587.00,$104.00,1,Technology,Phones
AZ-2011-7043718,"Ikea Library with Doors, Pine",0,$729.00,$241.00,2,Furniture,Bookcases
AZ-2011-7043718,"SAFCO Steel Folding Chair, Black",0.2,$266.00,$23.00,4,Furniture,Chairs
AZ-2011-7043718,"BIC Canvas, Water Color",0,$57.00,$1.00,1,Office Supplies,Art
AZ-2011-7043718,"Sanford Pencil Sharpener, Water Color",0,$116.00,$13.00,4,Office Supplies,Art
BN-2011-7087921,"Boston Pencil Sharpener, Easy-Erase",0.5,$91.00,-$62.00,6,Office Supplies,Art
AZ-2011-6835828,"Tenex Shelving, Industrial",0.1,$149.00,$15.00,3,Office Supplies,Storage
AZ-2011-2397035,"Stanley Pencil Sharpener, Water Color",0,$112.00,$4.00,4,Office Supplies,Art
AZ-2011-2397035,"Avery Binder Covers, Durable",0,$50.00,$6.00,4,Office Supplies,Binders
AZ-2011-2397035,"Konica Receipt Printer, Wireless",0.15,$208.00,$12.00,2,Technology,Machines
AZ-2011-9421435,"Novimex Legal Exhibit Labels, Laser Printer Compatible",0,$31.00,$11.00,3,Office Supplies,Labels
AZ-2011-2956456,"Stockwell Clamps, 12 Pack",0,$110.00,$22.00,6,Office Supplies,Fasteners
AZ-2011-2606042,"Binney & Smith Pencil Sharpener, Fluorescent",0,$133.00,$5.00,5,Office Supplies,Art
AZ-2011-2606042,"Cardinal Binder Covers, Clear",0,$80.00,$21.00,7,Office Supplies,Binders
AZ-2011-5195846,"Advantus Frame, Duo Pack",0.2,$267.00,$90.00,3,Furniture,Furnishings
AZ-2011-5195846,"GlobeWeis Manila Envelope, Set of 50",0.5,$55.00,-$19.00,4,Office Supplies,Envelopes
AZ-2011-5195846,"Rogers Trays, Wire Frame",0.5,$91.00,-$2.00,3,Office Supplies,Storage
AZ-2011-9107304,"Ikea Corner Shelving, Metal",0,$368.00,$15.00,3,Furniture,Bookcases
AZ-2011-9107304,"Binney & Smith Sketch Pad, Blue",0,$93.00,$24.00,2,Office Supplies,Art
AZ-2011-9107304,"Cardinal 3-Hole Punch, Clear",0,$85.00,$18.00,3,Office Supplies,Binders
AZ-2011-9107304,"Stockwell Rubber Bands, 12 Pack",0,$48.00,$5.00,3,Office Supplies,Fasteners
AZ-2011-9107304,"Smead Folders, Wire Frame",0.1,$60.00,-$3.00,4,Office Supplies,Storage
BN-2011-3032749,"Avery Binder Covers, Clear",0.5,$26.00,-$14.00,5,Office Supplies,Binders
BN-2011-3032749,"Tenex File Cart, Industrial",0.6,$215.00,-$220.00,4,Office Supplies,Storage
AZ-2011-7255147,"Sauder Library with Doors, Mobile",0,$780.00,$117.00,2,Furniture,Bookcases
AZ-2011-819110,"Kraft Clasp Envelope, with clear poly window",0,$50.00,$24.00,4,Office Supplies,Envelopes
AZ-2011-7255147,"BIC Highlighters, Blue",0,$19.00,$8.00,1,Office Supplies,Art
AZ-2011-819110,"Panasonic Receipt Printer, Wireless",0.15,$206.00,$27.00,2,Technology,Machines
AZ-2011-5676694,"Dania Classic Bookcase, Traditional",0,$822.00,$353.00,2,Furniture,Bookcases
AZ-2011-5676694,"Boston Highlighters, Easy-Erase",0,$19.00,$4.00,1,Office Supplies,Art
AZ-2011-6048331,"BIC Markers, Blue",0,$26.00,$1.00,1,Office Supplies,Art
AZ-2011-6048331,"Eldon Box, Blue",0.1,$9.00,$2.00,1,Office Supplies,Storage
BN-2011-493873,"Sauder Classic Bookcase, Pine",0.5,$875.00,-$577.00,4,Furniture,Bookcases
BN-2011-493873,"Barricks Coffee Table, Fully Assembled",0.7,$273.00,-$500.00,3,Furniture,Tables
BN-2011-408191,"Hon Executive Leather Armchair, Adjustable",0.2,$728.00,-$82.00,2,Furniture,Chairs
BN-2011-408191,"Rubbermaid Door Stop, Erganomic",0,$127.00,$19.00,3,Furniture,Furnishings
BN-2011-307477,"SAFCO Executive Leather Armchair, Black",0.1,"$4,544.00","$1,868.00",11,Furniture,Chairs
BN-2011-307477,"Hoover Microwave, Black",0.1,$277.00,$0.00,1,Office Supplies,Appliances
BN-2011-307477,"Stanley Highlighters, Easy-Erase",0,$90.00,$32.00,6,Office Supplies,Art
BN-2011-307477,"Nokia Audio Dock, VoIP",0.15,$284.00,$43.00,2,Technology,Phones
AZ-2011-2939440,"Advantus Thumb Tacks, Assorted Sizes",0,$55.00,$8.00,5,Office Supplies,Fasteners
AZ-2011-2939440,"OIC Staples, Assorted Sizes",0,$62.00,$23.00,7,Office Supplies,Fasteners
AZ-2011-9155070,"Avery Hole Reinforcements, Durable",0,$24.00,$8.00,4,Office Supplies,Binders
AZ-2011-9155070,"Panasonic Calculator, Durable",0.15,$129.00,-$2.00,3,Technology,Machines
AZ-2011-8122214,"OIC Thumb Tacks, Assorted Sizes",0,$35.00,$14.00,3,Office Supplies,Fasteners
BN-2011-555099,"Stockwell Thumb Tacks, Assorted Sizes",0,$21.00,$6.00,2,Office Supplies,Fasteners
BN-2011-555099,"Smead Box, Single Width",0,$32.00,$8.00,3,Office Supplies,Storage
AZ-2011-2270958,"Barricks Round Table, with Bottom Storage",0.5,"$1,003.00",-$943.00,4,Furniture,Tables
AZ-2011-2270958,"Binney & Smith Canvas, Water Color",0,$164.00,$78.00,3,Office Supplies,Art
AZ-2011-2270958,"Smead Trays, Blue",0.4,$29.00,-$13.00,1,Office Supplies,Storage
AZ-2011-2270958,"Okidata Calculator, Red",0.4,$30.00,-$5.00,1,Technology,Machines
AZ-2011-6186921,"Wilson Jones Hole Reinforcements, Recycled",0,$10.00,$2.00,2,Office Supplies,Binders
AZ-2011-8091357,"Advantus Clock, Black",0,$103.00,$30.00,2,Furniture,Furnishings
AZ-2011-8091357,"Acco Binder Covers, Recycled",0,$41.00,$12.00,3,Office Supplies,Binders
AZ-2011-8091357,"Avery Binder Covers, Durable",0,$63.00,$8.00,5,Office Supplies,Binders
AZ-2011-8091357,"Avery Binder Covers, Recycled",0,$23.00,$8.00,2,Office Supplies,Binders
AZ-2011-8091357,"Konica Printer, Red",0.4,$477.00,$40.00,3,Technology,Machines
BN-2011-5307099,"Apple Speaker Phone, with Caller ID",0.5,$185.00,-$93.00,3,Technology,Phones
BN-2011-8574171,"Harbour Creations Bag Chairs, Black",0.6,$47.00,-$60.00,2,Furniture,Chairs
AZ-2011-8279503,"Bush Classic Bookcase, Mobile",0,"$2,076.00",$104.00,5,Furniture,Bookcases
AZ-2011-8279503,"Acco Binding Machine, Recycled",0,$309.00,$77.00,6,Office Supplies,Binders
AZ-2011-8279503,"Brother Copy Machine, High-Speed",0,$525.00,$58.00,2,Technology,Copiers
BN-2011-3728079,"Advantus Frame, Black",0.2,$533.00,$0.00,6,Furniture,Furnishings
BN-2011-3728079,"Motorola Headset, with Caller ID",0.5,$120.00,-$41.00,3,Technology,Phones
AZ-2011-2777408,"Binney & Smith Pens, Easy-Erase",0,$147.00,$0.00,12,Office Supplies,Art
AZ-2011-2777408,"Fellowes Shelving, Wire Frame",0.1,$102.00,$35.00,2,Office Supplies,Storage
AZ-2011-2777408,"Epson Calculator, Durable",0,$47.00,$13.00,1,Technology,Machines
AZ-2011-496083,"Hamilton Beach Toaster, Black",0.2,$364.00,$45.00,8,Office Supplies,Appliances
AZ-2011-496083,"Fellowes Folders, Blue",0.2,$63.00,$24.00,3,Office Supplies,Storage
AZ-2011-496083,"Smead Shelving, Single Width",0.2,$118.00,$37.00,3,Office Supplies,Storage
AZ-2011-1410648,"Ibico Index Tab, Clear",0,$18.00,$3.00,2,Office Supplies,Binders
AZ-2011-8074602,"Belkin Keyboard, USB",0.1,$151.00,-$5.00,2,Technology,Accessories
AZ-2011-7903656,"Safco Classic Bookcase, Traditional",0,"$1,314.00",$342.00,3,Furniture,Bookcases
AZ-2011-7903656,"Office Star Rocking Chair, Red",0,$705.00,$289.00,5,Furniture,Chairs
AZ-2011-7903656,"BIC Sketch Pad, Blue",0,$195.00,$35.00,4,Office Supplies,Art
AZ-2011-7903656,"Sanford Pens, Fluorescent",0,$37.00,$10.00,3,Office Supplies,Art
AZ-2011-4069925,"BIC Markers, Easy-Erase",0,$107.00,$30.00,4,Office Supplies,Art
AZ-2011-6969006,"OIC Clamps, 12 Pack",0,$58.00,$29.00,3,Office Supplies,Fasteners
AZ-2011-5822789,"BIC Canvas, Easy-Erase",0,$108.00,$37.00,2,Office Supplies,Art
AZ-2011-7677596,"Advantus Clamps, Assorted Sizes",0,$117.00,$15.00,7,Office Supplies,Fasteners
AZ-2011-3190941,"BIC Pencil Sharpener, Water Color",0,$97.00,$37.00,3,Office Supplies,Art
AZ-2011-3190941,"Kraft Interoffice Envelope, Set of 50",0,$94.00,$21.00,2,Office Supplies,Envelopes
AZ-2011-3190941,"Tenex Folders, Blue",0.1,$104.00,$27.00,5,Office Supplies,Storage
AZ-2011-3190941,"Sharp Ink, Color",0,$126.00,$59.00,1,Technology,Copiers
AZ-2011-5422408,"Motorola Audio Dock, with Caller ID",0,$520.00,$203.00,3,Technology,Phones
AZ-2011-9147715,"Harbour Creations Chairmat, Adjustable",0.5,$74.00,-$18.00,2,Furniture,Chairs
AZ-2011-1278696,"OIC Thumb Tacks, Bulk Pack",0,$28.00,$10.00,2,Office Supplies,Fasteners
AZ-2011-8295770,"Cardinal 3-Hole Punch, Clear",0.1,$229.00,$28.00,9,Office Supplies,Binders
AZ-2011-3714764,"Binney & Smith Markers, Blue",0,$72.00,$14.00,3,Office Supplies,Art
AZ-2011-7682838,"Cameo Mailers, with clear poly window",0,$167.00,$7.00,4,Office Supplies,Envelopes
AZ-2011-7682838,"Fellowes File Cart, Wire Frame",0,$273.00,$57.00,2,Office Supplies,Storage
AZ-2011-4612792,"Sanford Sketch Pad, Water Color",0,$195.00,$91.00,4,Office Supplies,Art
AZ-2011-6222257,"Sanford Pens, Water Color",0,$43.00,$20.00,3,Office Supplies,Art
AZ-2011-6222257,"Fiskars Box Cutter, Serrated",0,$193.00,$62.00,6,Office Supplies,Supplies
AZ-2011-823697,"Hoover Stove, Red",0.1,"$3,070.00","$1,364.00",6,Office Supplies,Appliances
AZ-2011-823697,"Eldon File Cart, Single Width",0.1,$230.00,$20.00,2,Office Supplies,Storage
AZ-2011-9700826,"Memorex Router, Erganomic",0.1,$220.00,$49.00,1,Technology,Accessories
AZ-2011-5265250,"Harbour Creations Round Labels, Adjustable",0,$14.00,$4.00,3,Office Supplies,Labels
BN-2011-1399750,"Office Star Steel Folding Chair, Set of Two",0.1,$254.00,$73.00,3,Furniture,Chairs
BN-2011-1399750,"Binney & Smith Pens, Blue",0.1,$11.00,$4.00,1,Office Supplies,Art
BN-2011-1399750,"Sanford Highlighters, Easy-Erase",0.1,$29.00,-$2.00,2,Office Supplies,Art
BN-2011-1399750,"Avery Binder, Recycled",0.1,$48.00,$19.00,4,Office Supplies,Binders
BN-2011-1399750,"Stockwell Paper Clips, Metal",0.1,$24.00,$8.00,2,Office Supplies,Fasteners
AZ-2011-254910,"Fiskars Trimmer, Steel",0,$83.00,$10.00,2,Office Supplies,Supplies
AZ-2011-8252363,"Hon Round Labels, 5000 Label Set",0,$21.00,$7.00,3,Office Supplies,Labels
AZ-2011-8252363,"Smead Folders, Industrial",0.1,$81.00,$12.00,5,Office Supplies,Storage
AZ-2011-4707711,"Stockwell Clamps, Bulk Pack",0,$57.00,$5.00,3,Office Supplies,Fasteners
AZ-2011-1584987,"Smead Shelving, Industrial",0.1,$178.00,$28.00,4,Office Supplies,Storage
AZ-2011-1916360,"Dania 3-Shelf Cabinet, Mobile",0,$288.00,$20.00,2,Furniture,Bookcases
AZ-2011-2169445,"Harbour Creations Round Labels, Laser Printer Compatible",0,$47.00,$7.00,7,Office Supplies,Labels
AZ-2011-2169445,"Elite Box Cutter, High Speed",0,$105.00,$42.00,3,Office Supplies,Supplies
AZ-2011-2169445,"Apple Office Telephone, Cordless",0.4,$82.00,$14.00,2,Technology,Phones
AZ-2011-7024596,"Binney & Smith Pens, Fluorescent",0,$26.00,$0.00,2,Office Supplies,Art
AZ-2011-7499604,"Rubbermaid Door Stop, Duo Pack",0,$132.00,$9.00,3,Furniture,Furnishings
AZ-2011-7499604,"Smead Folders, Wire Frame",0,$50.00,$3.00,3,Office Supplies,Storage
BN-2011-7253620,"StarTech Inkjet, White",0.5,$747.00,-$90.00,5,Technology,Machines
AZ-2011-6314494,"Acco Binder Covers, Economy",0,$40.00,$16.00,3,Office Supplies,Binders
AZ-2011-6314494,"Xerox Cards & Envelopes, Premium",0,$90.00,$27.00,2,Office Supplies,Paper
AZ-2011-3556179,"Rubbermaid Frame, Duo Pack",0,$770.00,$85.00,7,Furniture,Furnishings
AZ-2011-3556179,"SanDisk Cards & Envelopes, Recycled",0,$193.00,$8.00,4,Office Supplies,Paper
AZ-2011-8308381,"Avery Binding Machine, Durable",0,$453.00,$27.00,9,Office Supplies,Binders
AZ-2011-8308381,"Ibico 3-Hole Punch, Economy",0,$152.00,$76.00,5,Office Supplies,Binders
AZ-2011-8308381,"Eldon File Cart, Single Width",0.1,$230.00,$20.00,2,Office Supplies,Storage
AZ-2011-8308381,"Motorola Signal Booster, Full Size",0.15,$246.00,$3.00,2,Technology,Phones
AZ-2011-9505872,"OIC Clamps, Metal",0,$99.00,$45.00,5,Office Supplies,Fasteners
AZ-2011-8738856,"Stanley Canvas, Easy-Erase",0,$149.00,$36.00,3,Office Supplies,Art
AZ-2011-5004051,"Stanley Highlighters, Blue",0.5,$15.00,-$9.00,2,Office Supplies,Art
AZ-2011-5004051,"Advantus Thumb Tacks, Metal",0.5,$7.00,-$4.00,1,Office Supplies,Fasteners
BN-2011-8211228,"Harbour Creations Legal Exhibit Labels, 5000 Label Set",0.5,$17.00,-$12.00,3,Office Supplies,Labels
BN-2011-8211228,"Nokia Audio Dock, Full Size",0.5,$84.00,-$55.00,1,Technology,Phones
AZ-2011-5185285,"Tenex Lockers, Blue",0.1,$551.00,$98.00,3,Office Supplies,Storage
BN-2011-9474783,"Ibico 3-Hole Punch, Recycled",0,$92.00,$26.00,3,Office Supplies,Binders
AZ-2011-4565223,"Stockwell Clamps, 12 Pack",0,$93.00,$45.00,5,Office Supplies,Fasteners
BN-2011-6425274,"Stockwell Push Pins, Metal",0.5,$22.00,-$21.00,3,Office Supplies,Fasteners
BN-2011-6425274,"Rogers Box, Industrial",0.6,$39.00,-$59.00,4,Office Supplies,Storage
AZ-2011-8743509,"Tenex Door Stop, Erganomic",0,$170.00,$27.00,4,Furniture,Furnishings
AZ-2011-8743509,"Kleencut Scissors, Serrated",0,$38.00,$3.00,2,Office Supplies,Supplies
AZ-2011-8743509,"Samsung Smart Phone, Cordless",0,$639.00,$45.00,1,Technology,Phones
BN-2011-2502895,"Novimex File Folder Labels, Alphabetical",0.5,$8.00,-$6.00,2,Office Supplies,Labels
AZ-2011-8369879,"Novimex Swivel Stool, Black",0.1,$729.00,-$57.00,5,Furniture,Chairs
AZ-2011-8369879,"Smead Box, Industrial",0.1,$51.00,-$1.00,5,Office Supplies,Storage
AZ-2011-8369879,"Canon Personal Copier, Digital",0,$285.00,$14.00,2,Technology,Copiers
AZ-2011-8369879,"Motorola Speaker Phone, VoIP",0,$390.00,$16.00,3,Technology,Phones
AZ-2011-5463300,"Eldon Clock, Erganomic",0,$110.00,$37.00,2,Furniture,Furnishings
AZ-2011-8060803,"Sauder Classic Bookcase, Pine",0,"$2,624.00",$446.00,6,Furniture,Bookcases
AZ-2011-5463300,"Stanley Pens, Easy-Erase",0,$21.00,$9.00,2,Office Supplies,Art
AZ-2011-8060803,"Sanford Pens, Easy-Erase",0,$34.00,$8.00,3,Office Supplies,Art
AZ-2011-8060803,"Rogers Lockers, Blue",0,$423.00,$30.00,2,Office Supplies,Storage
BN-2011-2967562,"Advantus Photo Frame, Durable",0.6,$40.00,-$44.00,2,Furniture,Furnishings
AZ-2011-8060550,"Stanley Canvas, Water Color",0,$158.00,$69.00,3,Office Supplies,Art
AZ-2011-8060550,"Wilson Jones Binding Machine, Recycled",0,$296.00,$32.00,6,Office Supplies,Binders
AZ-2011-8060550,"SanDisk Flash Drive, Programmable",0,$123.00,$50.00,3,Technology,Accessories
BN-2011-6893107,"Apple Signal Booster, Full Size",0.4,$497.00,-$290.00,6,Technology,Phones
AZ-2011-7659767,"Office Star Rocking Chair, Red",0.1,$507.00,$175.00,4,Furniture,Chairs
AZ-2011-7089649,"OIC Rubber Bands, Metal",0,$86.00,$33.00,5,Office Supplies,Fasteners
AZ-2011-9409671,"Binney & Smith Markers, Fluorescent",0,$51.00,$14.00,2,Office Supplies,Art
AZ-2011-9409671,"Novimex Shipping Labels, Alphabetical",0,$32.00,$16.00,3,Office Supplies,Labels
AZ-2011-3089735,"Breville Microwave, White",0.1,"$1,889.00",$483.00,7,Office Supplies,Appliances
AZ-2011-3089735,"Cardinal Binding Machine, Economy",0,$498.00,$139.00,10,Office Supplies,Binders
AZ-2011-5817638,"KitchenAid Toaster, White",0,$584.00,$234.00,7,Office Supplies,Appliances
AZ-2011-3293357,"Smead Round Labels, 5000 Label Set",0,$15.00,$1.00,2,Office Supplies,Labels
AZ-2011-3293357,"Green Bar Message Books, Recycled",0,$47.00,$17.00,2,Office Supplies,Paper
AZ-2011-2762983,"KitchenAid Toaster, Red",0.1,$538.00,$221.00,7,Office Supplies,Appliances
AZ-2011-2762983,"Stanley Pens, Water Color",0,$119.00,$38.00,9,Office Supplies,Art
AZ-2011-2762983,"GlobeWeis Peel and Seal, Security-Tint",0,$48.00,$6.00,2,Office Supplies,Envelopes
AZ-2011-2762983,"Fellowes Trays, Single Width",0.1,$413.00,$184.00,8,Office Supplies,Storage
AZ-2011-2762983,"Rogers Folders, Wire Frame",0.1,$80.00,$1.00,3,Office Supplies,Storage
AZ-2011-7072417,"Cardinal Binder, Clear",0,$53.00,$2.00,4,Office Supplies,Binders
AZ-2011-7072417,"Acme Scissors, Easy Grip",0,$81.00,$19.00,3,Office Supplies,Supplies
BN-2011-5443120,"Binney & Smith Canvas, Blue",0.5,$205.00,-$127.00,8,Office Supplies,Art
BN-2011-5443120,"Cameo Business Envelopes, Security-Tint",0.5,$17.00,-$5.00,2,Office Supplies,Envelopes
AZ-2011-3885003,"Advantus Clock, Black",0,$257.00,$74.00,5,Furniture,Furnishings
AZ-2011-3885003,"BIC Highlighters, Water Color",0,$44.00,$8.00,2,Office Supplies,Art
AZ-2011-3885003,"Harbour Creations Round Labels, 5000 Label Set",0,$64.00,$25.00,9,Office Supplies,Labels
AZ-2011-3885003,"Canon Copy Machine, Digital",0,$785.00,$86.00,3,Technology,Copiers
AZ-2011-3885003,"Cisco Signal Booster, Full Size",0,$306.00,$9.00,2,Technology,Phones
AZ-2011-107716,"Belkin Flash Drive, Bluetooth",0,$294.00,$109.00,7,Technology,Accessories
BN-2011-6178410,"Nokia Headset, VoIP",0.5,$73.00,-$12.00,2,Technology,Phones
